Título,ESTRUCTURA DE LA GENERACIÓN POR TECNOLOGÍAS_01-01-2021_31-12-2022,,,,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,4057.346783,4517.602492,3715.416012,2745.019022,2159.483245,2182.252545,2209.4646239999997,1883.2608030000001,1396.698883,1023.215446,1199.445532,2536.803672,2085.857451,1174.9701699999998,1775.4781440000002,1802.751588,1923.714557,1192.915008,1044.9864129999999,972.175599,1153.727239,719.248117,1311.6030460000002,2749.580729
Turbinación bombeo,320.53138900000005,401.29321899999997,330.794555,153.67968,238.708927,105.706304,115.895307,159.688964,118.198104,232.112394,202.80659899999998,269.908819,215.637741,285.079947,273.84815299999997,336.712619,300.01769,271.315011,216.663274,339.437288,304.811504,385.629672,361.66386700000004,485.359059
Nuclear,5199.740516,4358.515107,4833.065002,4197.33293,4373.250552,3684.377943,5119.328941,5151.337803,4890.618221,4748.364457000001,3562.2548070000003,3922.833452,5048.424951,4771.058269,4766.690052,4414.715447,4066.355361,4459.458308,5073.367597,5122.0469299999995,4847.366489,4021.338375,4231.576648,5161.212451
Carbón,557.975979,176.26671900000002,242.138946,270.100026,331.93111300000004,473.579232,311.10233,319.182668,477.087202,527.419848,576.437576,719.9263739999999,709.9632190000001,568.629528,705.226125,691.004601,527.154558,833.03637,882.232497,819.592534,632.066719,381.004644,321.469754,693.672984
Motores diésel,203.759973,160.418085,173.283976,187.547789,178.36229999999998,206.220592,239.57681599999998,258.860338,256.964192,233.57056500000002,203.062243,215.79723800000002,210.125165,185.57552600000002,207.451405,205.100239,215.84438,224.84698999999998,242.769399,245.67277900000002,216.066758,202.310397,192.19661100000002,200.24164499999998
Turbina de gas,28.766271,18.026130000000002,27.904377,24.553476999999997,24.916217,34.119217,40.565981,47.885346,71.402214,46.314807,30.058985,29.066882,34.446764,34.328002,38.861629,34.57236,42.307777,47.734012,79.729885,85.532472,84.42261599999999,79.275334,47.409887000000005,48.856536
Turbina de vapor,116.282053,104.960847,100.75825900000001,70.652976,62.41677,33.486942000000006,66.13421000000001,99.64419000000001,113.21021300000001,112.484255,115.10902300000001,112.916219,117.429802,102.630663,114.410944,103.636366,86.849653,60.625901,73.212087,102.41701300000001,110.95399099999999,118.59882,93.771169,122.69665499999999
Ciclo combinado,2729.183017,1544.065785,2151.091661,3384.471579,2444.871606,3658.878948,3718.134418,4047.368387,4943.197265,4407.05637,6317.636788,5154.143508,5898.394445,4671.261013,3873.33498,3146.865903,3713.639285,6478.9437960000005,8460.442205,8082.02529,7704.900791,7066.692644000001,4672.406454,4368.592847
